id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,type,quality
1257,7.2,0.2,0.37,2.5,0.063,11.0,41.0,0.9944,3.52,0.8,12.4,red,7.0
6409,8.2,0.3,0.39,7.8,0.039,49.0,208.0,0.9976,3.31,0.51,9.5,white,6.0
136,8.9,0.3,0.49,1.6,0.05,17.0,131.0,0.9956,3.13,0.34,9.4,white,5.0
1631,7.4,0.2,0.3,13.7,0.056,33.0,168.0,0.9982,2.9,0.44,8.7,white,7.0
6084,6.4,0.3,0.56,1.7,0.156,49.0,106.0,0.9935,3.1,0.37,9.2,white,6.0
5434,10.2,0.5,0.37,15.4,0.214,55.0,95.0,1.0037,3.18,0.77,9.0,red,6.0
1094,7.5,0.2,0.36,7.0,0.036,43.0,161.0,0.9938,3.04,0.32,11.0,white,5.0
5146,6.2,0.4,0.43,2.0,0.071,14.0,24.0,0.9943,3.45,0.87,11.2,red,7.0
5921,6.2,0.4,0.29,3.9,0.041,22.0,79.0,0.99,3.1,0.59,12.06666667,white,6.0
1076,8.1,0.2,0.4,2.0,0.037,19.0,87.0,0.9921,3.12,0.54,11.2,white,6.0
616,6.4,0.3,0.31,5.5,0.048,42.0,173.0,0.9951,3.19,0.66,9.3,white,6.0
4336,6.6,0.4,0.26,2.7,0.045,19.0,129.0,0.9895,3.24,0.48,13.0,white,7.0
219,6.0,0.3,0.47,3.6,0.067,18.0,42.0,0.9955,3.39,0.66,11.0,red,6.0
6403,10.4,0.4,0.55,3.2,0.076,22.0,54.0,0.9996,3.15,0.89,9.9,red,6.0
2397,6.1,0.3,0.27,2.6,0.024,20.0,105.0,0.9906,3.4,0.67,12.2,white,7.0
5240,8.6,0.2,0.4,1.1,0.04,20.0,107.0,0.9923,2.94,0.32,10.2,white,7.0
3696,6.6,0.4,0.35,6.0,0.063,31.0,150.0,0.9954,3.1,0.47,9.4,white,6.0
1070,10.3,0.5,0.42,2.0,0.069,21.0,51.0,0.9982,3.16,0.72,11.5,red,6.0
5890,7.0,0.6,0.12,1.9,0.091,34.0,124.0,0.9956,3.44,0.48,10.5,red,5.0
1270,7.5,0.2,0.38,1.8,0.054,19.0,101.0,0.9946,3.24,0.44,10.0,white,5.0
4641,8.9,0.6,0.39,2.3,0.095,5.0,22.0,0.9986,3.37,0.58,10.3,red,5.0
5299,8.0,0.3,0.63,1.6,0.081,16.0,29.0,0.9959,3.3,0.78,10.8,red,6.0
2494,7.7,0.3,0.26,7.8,0.031,23.0,90.0,0.9944,3.13,0.5,10.4,white,5.0
5276,6.7,0.4,0.24,5.4,0.035,33.0,115.0,0.9901,3.12,0.44,12.89333333,white,7.0
332,11.1,0.4,0.42,2.2,0.064,14.0,19.0,0.9976,3.25,0.57,10.4,red,6.0
3671,6.8,0.7,0.25,3.2,0.048,10.0,57.0,0.996,3.36,0.52,9.5,white,4.0
6367,7.2,0.2,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,white,6.0
5681,6.6,0.2,0.32,1.1,0.039,25.0,78.0,0.9926,3.39,0.54,10.2,white,7.0
1741,7.8,0.7,0.06,1.9,0.079,20.0,35.0,0.9963,3.4,0.69,10.9,red,5.0
4715,7.7,0.3,0.33,6.7,0.037,32.0,155.0,0.9951,3.39,0.62,10.7,white,7.0
1114,7.8,0.3,0.36,7.0,0.042,38.0,161.0,0.9941,3.26,0.37,11.2,white,8.0
4105,6.7,0.2,0.5,2.1,0.043,27.0,122.0,0.9923,3.15,0.45,10.3,white,6.0
825,9.2,0.3,0.49,11.8,0.042,29.0,137.0,0.998,3.1,0.34,10.1,white,4.0
88,7.1,0.2,0.3,2.6,0.034,62.0,148.0,0.9912,3.03,0.56,11.3,white,7.0
4551,6.8,0.2,0.31,1.4,0.053,34.0,114.0,0.9929,3.39,0.77,10.6,white,6.0
227,12.3,0.4,0.63,2.3,0.091,6.0,18.0,1.0004,3.16,0.49,9.5,red,5.0
1369,6.6,0.2,0.35,1.4,0.05,23.0,83.0,0.9902,3.17,0.48,12.0,white,7.0
3722,10.7,0.4,0.53,2.6,0.07,5.0,16.0,0.9972,3.15,0.65,11.0,red,8.0
2341,7.2,0.2,0.31,1.6,0.062,31.0,173.0,0.9917,3.35,0.44,11.7,white,6.0
4882,6.6,0.2,0.38,2.2,0.026,40.0,104.0,0.9914,3.25,0.4,11.1,white,8.0
2382,8.3,0.3,0.45,1.3,0.048,8.0,72.0,0.9944,3.08,0.61,10.3,white,4.0
4075,6.3,0.2,0.3,1.8,0.033,16.0,91.0,0.9906,3.28,0.4,11.8,white,6.0
687,7.4,0.3,0.22,1.7,0.051,50.0,179.0,0.9955,3.28,0.69,8.9,white,5.0
2350,8.4,0.7,0.19,2.2,0.093,11.0,75.0,0.9974,3.2,0.59,9.2,red,4.0
2634,6.8,0.8,0.0,1.2,0.267,16.0,29.0,0.9947,3.32,0.51,9.8,red,3.0
5751,7.1,0.2,0.41,17.8,0.046,39.0,145.0,0.9998,3.32,0.39,8.7,white,5.0
5934,6.8,0.2,0.31,13.3,0.05,69.0,202.0,0.9972,3.22,0.48,9.7,white,6.0
6286,8.0,0.3,0.49,11.7,0.035,40.0,131.0,0.9958,3.14,0.34,10.8,white,5.0
6004,7.1,0.7,0.08,2.1,0.063,42.0,52.0,0.9961,3.42,0.6,10.2,red,6.0
4696,7.2,0.4,0.46,2.1,0.074,24.0,44.0,0.9953,3.4,0.85,11.0,red,7.0
5628,6.9,0.4,0.22,4.3,0.03,10.0,102.0,0.993,3.0,0.87,11.6,white,4.0
3066,6.6,0.3,0.31,4.8,0.138,41.0,168.0,0.9951,3.2,0.38,9.3,white,5.0
6267,6.8,0.3,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10.0,white,4.0
3950,6.4,0.3,0.23,6.3,0.039,37.0,143.0,0.9944,3.19,0.65,10.0,white,6.0
1834,6.0,0.5,0.06,1.8,0.05,38.0,89.0,0.9924,3.3,0.5,10.55,red,6.0
848,8.2,0.3,0.39,2.5,0.074,29.0,48.0,0.9953,3.32,0.88,12.4,red,7.0
5852,6.2,0.6,0.1,2.1,0.048,4.0,11.0,0.9945,3.44,0.76,10.8,red,6.0
3034,7.3,0.4,0.24,2.5,0.078,27.0,67.0,0.9965,3.6,0.59,11.1,red,6.0
1074,6.9,0.3,0.3,1.8,0.036,28.0,117.0,0.9927,3.24,0.48,11.0,white,6.0
1184,6.4,0.3,0.44,3.6,0.2,75.0,181.0,0.9942,3.02,0.41,9.1,white,5.0
3788,10.6,0.5,0.64,2.2,0.111,6.0,20.0,0.997,3.26,0.66,11.7,red,6.0
3267,7.9,0.2,0.29,5.3,0.031,33.0,117.0,0.9918,3.06,0.32,11.8,white,7.0
5640,6.9,0.2,0.28,2.4,0.056,49.0,159.0,0.9944,3.02,0.47,8.8,white,8.0
2076,5.4,0.6,0.08,1.9,0.059,20.0,31.0,0.9948,3.5,0.64,10.2,red,6.0
4634,6.6,0.9,0.04,2.3,0.068,7.0,13.0,0.9958,3.53,0.58,10.8,red,6.0
2075,9.8,0.4,0.47,2.5,0.063,9.0,28.0,0.9981,3.24,0.65,10.8,red,6.0
5741,7.7,0.2,0.41,1.7,0.048,60.0,173.0,0.9932,3.24,0.66,11.2,white,7.0
5008,6.9,0.2,0.36,1.3,0.036,40.0,117.0,0.9934,3.27,0.95,9.5,white,7.0
1485,6.6,0.3,0.46,7.8,0.047,48.0,186.0,0.9958,3.2,0.54,9.1,white,5.0
2010,9.4,0.7,0.11,2.7,0.077,6.0,31.0,0.9984,3.19,0.7,10.1,red,6.0
1899,6.9,0.3,0.4,19.45,0.043,36.0,156.0,0.9996,2.93,0.47,8.9,white,5.0
3514,11.8,0.2,0.38,11.1,0.034,15.0,123.0,0.9997,2.93,0.55,9.7,white,3.0
5819,7.0,0.6,0.18,1.5,0.062,7.0,50.0,0.9951,3.08,0.6,9.3,red,5.0
5040,7.1,0.5,0.07,1.7,0.071,15.0,24.0,0.9951,3.29,0.66,10.8,red,6.0
3998,7.1,0.5,0.22,2.0,0.047,146.5,307.5,0.9924,3.24,0.37,11.0,white,3.0
6425,8.2,0.3,0.26,2.1,0.062,26.0,87.0,0.9897,3.1,0.47,12.8,white,6.0
1733,7.3,0.4,0.24,6.8,0.057,41.0,163.0,0.9949,3.2,0.41,9.9,white,6.0
2925,7.2,0.6,0.02,1.9,0.096,10.0,31.0,0.995,3.46,0.53,11.8,red,6.0
1528,6.9,0.3,0.4,14.0,0.05,64.0,227.0,0.9979,3.18,0.58,9.6,white,6.0
2332,7.15,0.2,0.24,9.6,0.119,56.0,178.0,0.9958,3.15,0.44,10.2,white,6.0
3492,9.4,0.2,0.3,1.4,0.042,26.0,176.0,0.9954,3.15,0.46,9.1,white,5.0
6177,8.1,0.3,0.24,1.6,0.032,10.0,67.0,0.9924,3.08,0.47,10.5,white,5.0
5338,5.5,0.3,0.29,3.0,0.027,16.0,102.0,0.9907,3.23,0.56,11.2,white,6.0
2599,8.5,0.2,0.39,10.4,0.044,20.0,142.0,0.9974,3.2,0.53,10.0,white,6.0
512,7.9,0.3,0.36,11.1,0.033,43.0,208.0,0.9969,3.14,0.46,10.3,white,5.0
5118,6.2,0.2,0.35,1.2,0.038,22.0,167.0,0.9912,3.1,0.48,10.6,white,6.0
4024,6.1,0.4,0.28,4.25,0.032,43.0,132.0,0.9916,3.26,0.47,11.26666667,white,7.0
1095,8.7,0.8,0.02,1.2,0.07,36.0,48.0,0.9952,3.2,0.58,9.8,red,5.0
965,6.7,0.2,0.41,9.4,0.04,49.0,166.0,0.9954,3.12,0.61,9.9,white,6.0
1163,6.8,0.3,0.4,22.0,0.048,48.0,167.0,1.001,2.93,0.5,8.7,white,5.0
5773,8.1,0.3,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,white,6.0
4154,7.4,0.4,0.31,17.95,0.062,42.0,187.0,1.0002,3.27,0.64,9.1,white,6.0
2968,7.8,0.3,0.49,1.3,0.046,27.0,142.0,0.9936,3.09,0.59,10.2,white,5.0
2294,7.1,0.2,0.34,1.0,0.033,27.0,73.0,0.9897,3.24,0.41,12.2,white,6.0
2652,6.2,0.1,0.34,1.5,0.045,43.0,117.0,0.9939,3.42,0.51,9.0,white,6.0
4632,7.1,0.2,0.41,17.8,0.046,39.0,145.0,0.9998,3.32,0.39,8.7,white,5.0
4585,8.4,0.3,0.46,8.7,0.048,39.0,197.0,0.9974,3.14,0.59,9.6,white,6.0
754,7.8,0.2,0.37,1.0,0.043,10.0,80.0,0.9913,3.08,0.38,11.4,white,5.0
3471,7.9,0.4,0.37,4.5,0.03,40.0,114.0,0.992,3.17,0.54,12.4,white,7.0
3506,7.1,0.3,0.24,13.1,0.05,52.0,204.0,0.998,3.1,0.49,8.8,white,5.0
1513,6.7,0.2,0.26,1.4,0.06,33.0,154.0,0.9934,3.24,0.56,9.5,white,6.0
210,6.9,0.2,0.34,1.9,0.043,25.0,136.0,0.9935,3.31,0.6,10.1,white,4.0
664,7.3,0.3,0.74,13.5,0.039,46.0,165.0,0.9982,3.02,0.4,8.7,white,5.0
6414,6.9,0.3,0.27,16.0,0.034,58.0,185.0,0.9994,3.34,0.6,9.0,white,6.0
2418,6.6,0.3,0.26,7.7,0.054,56.0,209.0,0.9961,3.17,0.45,8.8,white,5.0
2468,4.8,0.3,0.23,1.1,0.044,38.0,180.0,0.9892,3.28,0.34,11.9,white,6.0
1127,7.5,0.5,0.4,2.2,0.06,12.0,20.0,0.9947,3.26,0.64,11.8,red,6.0
4820,13.0,0.3,0.65,2.6,0.093,15.0,47.0,0.9996,3.05,0.61,10.6,red,5.0
495,7.2,0.7,0.0,2.2,0.068,10.0,24.0,0.9956,3.42,0.72,11.1,red,6.0
6256,6.1,0.3,0.32,7.8,0.052,52.0,183.0,0.9966,3.39,0.65,9.5,white,5.0
2732,5.8,0.3,0.23,5.0,0.053,29.0,106.0,0.9946,3.13,0.52,9.0,white,5.0
3053,7.2,0.3,0.26,1.5,0.041,46.0,178.0,0.9915,3.19,0.56,11.3,white,6.0
2954,6.8,0.5,0.08,2.2,0.064,18.0,38.0,0.9955,3.3,0.65,9.6,red,6.0
3663,6.8,0.6,0.29,2.2,0.04,15.0,77.0,0.9938,3.32,0.74,10.2,white,5.0
4410,6.8,0.2,0.32,1.4,0.04,35.0,106.0,0.9903,3.16,0.66,12.0,white,5.0
2153,6.0,0.4,0.0,1.4,0.042,7.0,55.0,0.9914,3.37,0.38,11.2,white,4.0
4691,7.0,0.3,0.39,8.7,0.051,32.0,141.0,0.9961,3.38,0.53,10.5,white,6.0
2971,6.6,0.4,0.16,1.4,0.037,28.0,160.0,0.9917,2.95,0.45,10.6,white,6.0
2616,7.5,0.3,0.36,7.0,0.036,45.0,164.0,0.9939,3.03,0.33,11.0,white,5.0
102,9.3,0.3,0.49,1.3,0.042,34.0,147.0,0.9948,3.11,0.46,9.8,white,5.0
1610,6.2,0.3,0.32,8.8,0.047,65.0,224.0,0.9961,3.17,0.47,8.9,white,5.0
3766,8.0,0.4,0.32,1.6,0.04,32.0,166.0,0.992,3.0,0.55,11.3,white,6.0
3072,7.0,0.2,0.35,1.4,0.036,31.0,113.0,0.9912,3.16,0.48,10.8,white,7.0
2951,5.6,0.2,0.36,2.5,0.048,16.0,125.0,0.9928,3.49,0.49,10.0,white,6.0
2087,5.3,0.3,0.2,1.1,0.077,48.0,166.0,0.9944,3.3,0.54,8.7,white,4.0
4593,7.4,0.2,0.26,1.2,0.035,18.0,97.0,0.9924,3.12,0.41,9.7,white,6.0
6184,6.8,0.2,0.3,13.6,0.055,50.0,180.0,0.9984,3.44,0.39,9.8,white,5.0
3347,10.6,0.3,0.39,15.5,0.069,6.0,23.0,1.0026,3.12,0.66,9.2,red,5.0
2806,5.9,0.4,0.26,1.4,0.027,23.0,109.0,0.9915,3.3,0.36,10.5,white,6.0
3083,7.8,0.5,0.25,1.9,0.081,14.0,38.0,0.9984,3.43,0.65,9.0,red,6.0
1815,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,white,6.0
4814,6.6,0.4,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,white,6.0
